update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,427.12715627513245,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9297920018434525,-0.09021034743636847,-0.014578688191249967,0.0019640212412923574,0.032544808330231635,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,2479.481940776589,5,0.03099999949336052,0.12006248177022365,0.0,0.4959999918937683,243.125,26.62676050517599,140.0,250.0,1.9254486560821533,-0.06423577945679426,-0.02666696859523654,0.001458616003219504,0.029972410642900883,0.03099999949336052,0.12006248177022365,0.0,0.4959999918937683
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,2587.7396816483574,6,0.03099999949336052,0.12006248177022365,0.0,0.4959999918937683,243.125,26.62676050517599,140.0,250.0,1.939405381679535,-0.05129018099978566,-0.00889016769360751,4.3271233607811155e-05,0.006212934089692388,0.03099999949336052,0.12006248177022365,0.0,0.4959999918937683
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,2505.2766053505998,7,0.017274999991059303,0.06690578727110595,0.0,0.27639999985694885,246.9375,11.861011497760215,201.0,250.0,1.9390839487314224,-0.0363141312263906,-0.016158215701580048,0.0004907719448965508,0.010773562417364688,0.017274999991059303,0.06690578727110595,0.0,0.27639999985694885
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,2600.5856333352203,8,0.017274999991059303,0.06690578727110595,0.0,0.27639999985694885,246.9375,11.861011497760215,201.0,250.0,1.941549390554428,-0.0338140744715929,-0.006394727271981537,1.802749818580196e-05,0.002305211620468809,0.017274999991059303,0.06690578727110595,0.0,0.27639999985694885
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,2494.8793857496285,8,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9431012868881226,-0.02559660142287612,-0.00889657309744507,5.238897256276687e-05,0.004373355640902154,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,2492.709593638812,9,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9443246573209763,-0.022645810851827264,-0.004474902176298201,1.1316699271901598e-05,0.0022374871416625153,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,2514.675274201226,10,0.06352499965578318,0.1447779828072263,0.0,0.46720001101493835,237.5625,30.632843383368773,148.0,250.0,1.940316528081894,-0.013553280499763787,-0.010267468984238803,0.0007722999434918165,0.011171794293219616,0.06352499965578318,0.1447779828072263,0.0,0.46720001101493835
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,2574.779198862892,11,0.04237499926239252,0.1029322532408558,0.0,0.39879998564720154,243.4375,20.093434095494977,167.0,250.0,1.943243756890297,-0.009292336413636804,-0.003711219847900793,8.715967214811826e-05,0.003012632379884618,0.04237499926239252,0.1029322532408558,0.0,0.39879998564720154
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,2573.8811672864704,12,0.008050000295042992,0.0311775170796663,0.0,0.12880000472068787,249.5,1.9364916731037085,242.0,250.0,1.9442477971315384,-0.007361079566180706,-0.0019504785595927387,3.179781310791441e-05,0.0027229608686319,0.008050000295042992,0.0311775170796663,0.0,0.12880000472068787
11,22528,2599.611293717457,12,0.07774999924004078,0.21987145575012582,0.0,0.8416000008583069,231.875,52.58074148393117,44.0,250.0,1.9372699707746506,-0.003897680851878249,-0.008252048632130027,0.0020679595108958893,0.026356611325007544,0.07774999924004078,0.21987145575012582,0.0,0.8416000008583069
12,24576,2565.0140739422445,13,0.07774999924004078,0.21987145575012582,0.0,0.8416000008583069,231.875,52.58074148393117,44.0,250.0,1.9434490203857422,0.009534669457934797,0.003286801220383495,9.962249623640673e-05,0.004556176136423636,0.07774999924004078,0.21987145575012582,0.0,0.8416000008583069
13,26624,2589.228724079257,14,0.08720000088214874,0.23072355987573898,0.0,0.704800009727478,229.25,54.903893304573586,82.0,250.0,1.9403329193592072,0.023155209608376026,-0.009462250105571002,0.0013052435970166698,0.02257074130116666,0.08720000088214874,0.23072355987573898,0.0,0.704800009727478
14,28672,2602.8992676373523,15,0.10397500125691295,0.22896246518301966,0.0,0.704800009727478,228.0625,54.64712795518169,82.0,250.0,1.9385407119989395,0.018040817929431796,-0.0001946623706317041,0.000859153107739985,0.01220424822169569,0.10397500125691295,0.22896246518301966,0.0,0.704800009727478
15,30720,2618.441832959819,16,0.15562500013038516,0.24296519955110377,0.0,0.7623999714851379,217.1875,56.87510302188472,66.0,250.0,1.9338327795267105,0.0417798887938261,-0.012986611051019281,0.003490500123007223,0.01758878755988857,0.15562500013038516,0.24296519955110377,0.0,0.7623999714851379
16,32768,2604.009475150164,16,0.21294999867677689,0.2661173715201554,0.0,0.7623999714851379,203.0,61.6907610586869,66.0,250.0,1.9288617670536041,0.03340190462768078,-0.003943534669815563,0.0017104010184993967,0.03332860054053043,0.21294999867677689,0.2661173715201554,0.0,0.7623999714851379
17,34816,2629.7687781921627,17,0.16125000081956387,0.22867172541084074,0.0,0.6327999830245972,215.625,51.57867170643308,102.0,250.0,1.9078759849071503,0.06710077309980989,-0.0007050428175716661,0.002181983320042491,0.028785960714912368,0.16125000081956387,0.22867172541084074,0.0,0.6327999830245972
18,36864,2562.0319460078226,18,0.23252499848604202,0.27615613967669167,0.0,0.6976000070571899,197.5625,63.68572127054855,84.0,250.0,1.9041465669870377,0.07278479030355811,-0.011075212503783405,0.0035940617381129414,0.03995406000049105,0.23252499848604202,0.27615613967669167,0.0,0.6976000070571899
19,38912,2592.193963974567,19,0.36467500030994415,0.29336911022976103,0.0,0.7444000244140625,166.0625,68.6389728488852,71.0,250.0,1.8968792408704758,0.07888580113649368,-0.020019494695588946,0.0033777776116039604,0.032665616453196995,0.36467500030994415,0.29336911022976103,0.0,0.7444000244140625
20,40960,2604.1492058497092,20,0.2860249988734722,0.30869769926082924,0.0,0.8848000168800354,184.4375,73.06757895092734,32.0,250.0,1.9055083841085434,0.0763656827621162,-0.007170094162574969,0.004370567621663213,0.051145856894316014,0.2860249988734722,0.30869769926082924,0.0,0.8848000168800354
21,43008,2647.3609992369134,20,0.40039999783039093,0.3224593628747399,0.0,0.8848000168800354,157.875,79.1074230082108,32.0,250.0,1.8757106065750122,0.12709835078567266,-0.0149159295251593,0.00510036016930826,0.03701032906984897,0.40039999783039093,0.3224593628747399,0.0,0.8848000168800354
22,45056,2634.380364485706,21,0.4342749956995249,0.28417986258167277,0.0,0.8848000168800354,151.9375,71.36041335187178,32.0,250.0,1.864548996090889,0.1147246127948165,-0.012649234791751951,0.006151723093353212,0.04475891969096338,0.4342749956995249,0.28417986258167277,0.0,0.8848000168800354
23,47104,2623.403068946856,22,0.42671579279397664,0.3498915971801583,0.0,0.9423999786376953,150.47368421052633,86.79580903116211,16.0,250.0,1.7864284813404083,0.15305300801992416,-0.03372258320450783,0.010764756822027266,0.07021700033114012,0.42671579279397664,0.3498915971801583,0.0,0.9423999786376953
24,49152,2348.92447480356,23,0.6741919994354248,0.2543462401406347,0.0,0.9351999759674072,88.28,64.93166869871742,18.0,250.0,1.7214398682117462,0.261444840580225,-0.062109334859997034,0.015526190749369562,0.093851807301985,0.6741919994354248,0.2543462401406347,0.0,0.9351999759674072
25,51200,2262.469711779181,24,0.7142322611424231,0.23531138105737393,0.0,0.9531999826431274,78.48387096774194,62.77757508380444,13.0,250.0,1.7354916334152222,0.3117923326790333,-0.07088054716587067,0.018685888149775565,0.09375753745118323,0.7142322611424231,0.23531138105737393,0.0,0.9531999826431274
26,53248,2561.021372914682,24,0.7839999996563968,0.12341722335764738,0.47440001368522644,0.9459999799728394,60.0,34.28256288037782,15.0,146.0,1.7020823806524277,0.39784201607108116,-0.07522567454725504,0.013743072631768882,0.08388620734497745,0.7839999996563968,0.12341722335764738,0.47440001368522644,0.9459999799728394
27,55296,2595.922041963596,25,0.8412249988565842,0.0978540226244528,0.42399999499320984,0.9603999853134155,44.104166666666664,27.18167242779999,11.0,160.0,1.5724791884422302,0.5386907085776329,-0.0962018733844161,0.01460196846164763,0.15967492398925448,0.8412249988565842,0.0978540226244528,0.42399999499320984,0.9603999853134155
28,57344,2535.7276389332505,26,0.8760685724871499,0.12616074676251757,0.0,0.9711999893188477,34.02857142857143,32.339702016725695,8.0,250.0,1.4267718642950058,0.661985956132412,-0.09493707865476608,0.01133500353898853,0.11933175912378324,0.8760685724871499,0.12616074676251757,0.0,0.9711999893188477
29,59392,2484.6543489736623,27,0.905523073214751,0.05641428506836896,0.5644000172615051,0.9675999879837036,26.243589743589745,15.670637165253462,9.0,121.0,1.383677214384079,0.7324983477592468,-0.06027649436146021,0.006220591487362981,0.10939736521271748,0.905523073214751,0.05641428506836896,0.5644000172615051,0.9675999879837036
30,61440,2511.5805774691084,28,0.9231524662216111,0.03806995596702229,0.7767999768257141,0.9675999879837036,21.346534653465348,10.574989776990453,9.0,62.0,1.3183231502771378,0.7845606729388237,-0.052699127700179815,0.004331546108005568,0.07481197594412611,0.9231524662216111,0.03806995596702229,0.7767999768257141,0.9675999879837036
31,63488,2497.4813020379197,29,0.9203021209290687,0.0357216419571072,0.8091999888420105,0.9675999879837036,22.138297872340427,9.922680943311713,9.0,53.0,1.3168055415153503,0.8029327243566513,-0.01719254779163748,0.0028246303263586015,0.059852767115910845,0.9203021209290687,0.0357216419571072,0.8091999888420105,0.9675999879837036
32,65536,2490.8281129934066,29,0.9336571347500596,0.022665054169637523,0.8704000115394592,0.9747999906539917,18.428571428571427,6.295852214120089,7.0,36.0,1.2373995929956436,0.833548977971077,-0.024965582881122828,0.0016122288070619106,0.037088583838219946,0.9336571347500596,0.022665054169637523,0.8704000115394592,0.9747999906539917
33,67584,2474.867113029684,30,0.9328972842242267,0.02409770102326879,0.8343999981880188,0.9675999879837036,18.63963963963964,6.693808881916027,9.0,46.0,1.23891119658947,0.8435586541891098,-0.010575267486274242,0.0014084601134527475,0.04249837858784859,0.9328972842242267,0.02409770102326879,0.8343999981880188,0.9675999879837036
34,69632,2480.6154144709635,31,0.9308457056681315,0.022772154334535787,0.852400004863739,0.9675999879837036,19.20952380952381,6.325602155556852,9.0,41.0,1.3274513334035873,0.8403988778591156,0.004873139056144282,0.0012808942119590938,0.04113454309876147,0.9308457056681315,0.022772154334535787,0.852400004863739,0.9675999879837036
35,71680,2460.3934058663212,32,0.9300823439570034,0.022737317276439746,0.8452000021934509,0.9711999893188477,19.42156862745098,6.315924900070415,8.0,43.0,1.3051650673151016,0.8352680578827858,-3.480297527858056e-05,0.001215198848512955,0.03712500159900919,0.9300823439570034,0.022737317276439746,0.8452000021934509,0.9711999893188477
36,73728,2477.9998932634526,33,0.9310108986767855,0.024934562387774594,0.848800003528595,0.9675999879837036,19.163636363636364,6.926270507314587,9.0,42.0,1.3649764657020569,0.8415980860590935,0.0017516962834633887,0.0011990425118710846,0.035614196734896963,0.9310108986767855,0.024934562387774594,0.848800003528595,0.9675999879837036
37,75776,2535.1132360184783,34,0.9254079902172089,0.029969118893839488,0.7911999821662903,0.9675999879837036,20.72,8.324758254748302,9.0,58.0,1.3833159804344177,0.8320926278829575,0.00923779429285787,0.0015985200880095363,0.04121908399665513,0.9254079902172089,0.029969118893839488,0.7911999821662903,0.9675999879837036
38,77824,2579.085169006426,34,0.9213478241277777,0.03256882964977104,0.8235999941825867,0.9711999893188477,21.847826086956523,9.04690048124662,8.0,49.0,1.363514021039009,0.8135379031300545,0.009597758704330772,0.0016174425691133365,0.04199860549823453,0.9213478241277777,0.03256882964977104,0.8235999941825867,0.9711999893188477
39,79872,2573.3753360916694,35,0.9256599926948548,0.027602269515154113,0.8379999995231628,0.9675999879837036,20.65,7.667300698420534,9.0,45.0,1.3001881688833237,0.8209239020943642,-0.005278950004139915,0.0015753950428916141,0.038343973625699926,0.9256599926948548,0.027602269515154113,0.8379999995231628,0.9675999879837036
40,81920,2543.7797277276172,36,0.9295378547270321,0.027702585273866712,0.7803999781608582,0.9675999879837036,19.57281553398058,7.695165474791227,9.0,61.0,1.2522411495447159,0.8231212049722672,-0.015483127441257238,0.001665420481003821,0.04071283939704569,0.9295378547270321,0.027702585273866712,0.7803999781608582,0.9675999879837036
